Unnamed: 0,ano,nivel,tipo_contrato,cargo,salary,salary_currency,salario_usd,pais_profissional,remoto_ratio,pais_empresa,company_size,nivel_legivel,modalidade
0,2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L,Pleno/Mid,Presencial
1,2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S,Sênior,Presencial
2,2020,SE,FT,Big Data Engineer,85000,GBP,109024,GB,50,GB,M,Sênior,Híbrido
3,2020,MI,FT,Product Data Analyst,20000,USD,20000,HN,0,HN,S,Pleno/Mid,Presencial
4,2020,SE,FT,Machine Learning Engineer,150000,USD,150000,US,50,US,L,Sênior,Híbrido
5,2020,EN,FT,Data Analyst,72000,USD,72000,US,100,US,L,Júnior/Entry,Remoto
6,2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S,Sênior,Remoto
7,2020,MI,FT,Data Scientist,11000000,HUF,35735,HU,50,HU,L,Pleno/Mid,Híbrido
8,2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L,Pleno/Mid,Remoto
9,2020,SE,FT,Lead Data Engineer,125000,USD,125000,NZ,50,NZ,S,Sênior,Híbrido
10,2020,EN,FT,Data Scientist,45000,EUR,51321,FR,0,FR,S,Júnior/Entry,Presencial
11,2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L,Pleno/Mid,Presencial
12,2020,EN,FT,Data Scientist,35000,EUR,39916,FR,0,FR,M,Júnior/Entry,Presencial
13,2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L,Pleno/Mid,Remoto
14,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L,Pleno/Mid,Remoto
15,2020,MI,FT,Data Analyst,8000,USD,8000,PK,50,PK,L,Pleno/Mid,Híbrido
16,2020,EN,FT,Data Engineer,4450000,JPY,41689,JP,100,JP,S,Júnior/Entry,Remoto
17,2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S,Sênior,Remoto
18,2020,EN,FT,Data Science Consultant,423000,INR,5707,IN,50,IN,M,Júnior/Entry,Híbrido
19,2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M,Pleno/Mid,Remoto
20,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,CN,0,CN,M,Pleno/Mid,Presencial
21,2020,MI,FT,Product Data Analyst,450000,INR,6072,IN,100,IN,L,Pleno/Mid,Remoto
22,2020,SE,FT,Data Engineer,42000,EUR,47899,GR,50,GR,L,Sênior,Híbrido
23,2020,MI,FT,BI Data Analyst,98000,USD,98000,US,0,US,M,Pleno/Mid,Presencial
24,2020,MI,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L,Pleno/Mid,Presencial
25,2020,EX,FT,Director of Data Science,325000,USD,325000,US,100,US,L,Diretoria/Exec,Remoto
26,2020,EN,FT,Research Scientist,42000,USD,42000,NL,50,NL,L,Júnior/Entry,Híbrido
27,2020,SE,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S,Sênior,Presencial
28,2020,EN,CT,Business Data Analyst,100000,USD,100000,US,100,US,L,Júnior/Entry,Remoto
29,2020,SE,FT,Machine Learning Manager,157000,CAD,117104,CA,50,CA,L,Sênior,Híbrido
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,S,Pleno/Mid,Remoto
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L,Júnior/Entry,Remoto
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L,Sênior,Remoto
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,M,Pleno/Mid,Presencial
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L,Pleno/Mid,Híbrido
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,L,Pleno/Mid,Híbrido
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,L,Pleno/Mid,Remoto
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L,Júnior/Entry,Híbrido
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,S,Júnior/Entry,Remoto
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S,Júnior/Entry,Remoto
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,S,Pleno/Mid,Remoto
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L,Diretoria/Exec,Híbrido
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M,Pleno/Mid,Presencial
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,L,Pleno/Mid,Remoto
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L,Pleno/Mid,Híbrido
45,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S,Júnior/Entry,Remoto
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S,Pleno/Mid,Remoto
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L,Sênior,Remoto
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,L,Pleno/Mid,Remoto
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L,Pleno/Mid,Híbrido
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,S,Júnior/Entry,Presencial
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,L,Júnior/Entry,Remoto
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S,Júnior/Entry,Híbrido
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L,Júnior/Entry,Remoto
54,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,Sênior,Remoto
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,Sênior,Remoto
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M,Pleno/Mid,Remoto
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M,Pleno/Mid,Remoto
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,L,Sênior,Híbrido
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,M,Pleno/Mid,Remoto
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L,Pleno/Mid,Remoto
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M,Pleno/Mid,Remoto
62,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S,Júnior/Entry,Híbrido
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L,Sênior,Remoto
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,Sênior,Remoto
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S,Júnior/Entry,Híbrido
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S,Júnior/Entry,Presencial
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M,Sênior,Remoto
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S,Júnior/Entry,Remoto
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,S,Sênior,Presencial
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,S,Pleno/Mid,Híbrido
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S,Pleno/Mid,Híbrido
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,L,Júnior/Entry,Híbrido
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L,Diretoria/Exec,Remoto
74,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,L,Diretoria/Exec,Remoto
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,L,Sênior,Híbrido
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,M,Pleno/Mid,Remoto
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,Pleno/Mid,Híbrido
78,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,L,Pleno/Mid,Remoto
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,M,Júnior/Entry,Remoto
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,Sênior,Remoto
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,L,Pleno/Mid,Remoto
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Pleno/Mid,Híbrido
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,Pleno/Mid,Remoto
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,L,Diretoria/Exec,Remoto
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,L,Pleno/Mid,Remoto
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,M,Júnior/Entry,Híbrido
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Pleno/Mid,Remoto
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L,Sênior,Remoto
89,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,S,Sênior,Remoto
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,Sênior,Remoto
91,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,Júnior/Entry,Remoto
92,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Pleno/Mid,Remoto
93,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L,Sênior,Presencial
94,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,L,Júnior/Entry,Híbrido
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,Pleno/Mid,Híbrido
96,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,S,Júnior/Entry,Remoto
97,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L,Pleno/Mid,Remoto
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Júnior/Entry,Remoto
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Pleno/Mid,Remoto
100,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L,Pleno/Mid,Presencial
101,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L,Sênior,Remoto
102,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Pleno/Mid,Híbrido
103,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L,Pleno/Mid,Presencial
104,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L,Pleno/Mid,Presencial
105,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L,Pleno/Mid,Híbrido
106,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L,Pleno/Mid,Remoto
107,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S,Sênior,Remoto
108,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Sênior,Remoto
109,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L,Júnior/Entry,Remoto
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,Sênior,Híbrido
111,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,Sênior,Remoto
112,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,Sênior,Remoto
113,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M,Júnior/Entry,Remoto
114,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L,Pleno/Mid,Remoto
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Júnior/Entry,Remoto
116,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L,Pleno/Mid,Remoto
117,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,Pleno/Mid,Remoto
118,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S,Júnior/Entry,Remoto
119,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L,Pleno/Mid,Remoto
120,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M,Pleno/Mid,Híbrido
121,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M,Sênior,Remoto
122,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M,Júnior/Entry,Remoto
123,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,Júnior/Entry,Presencial
124,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M,Júnior/Entry,Híbrido
125,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L,Pleno/Mid,Remoto
126,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S,Sênior,Híbrido
127,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S,Pleno/Mid,Presencial
128,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,Júnior/Entry,Remoto
129,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,Sênior,Híbrido
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,Júnior/Entry,Híbrido
131,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M,Júnior/Entry,Híbrido
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,Pleno/Mid,Remoto
133,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,Sênior,Remoto
134,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S,Júnior/Entry,Presencial
135,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M,Pleno/Mid,Remoto
136,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S,Pleno/Mid,Híbrido
137,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S,Pleno/Mid,Híbrido
138,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L,Sênior,Presencial
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M,Júnior/Entry,Remoto
140,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L,Pleno/Mid,Remoto
141,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L,Sênior,Presencial
142,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L,Sênior,Presencial
143,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S,Pleno/Mid,Remoto
144,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L,Pleno/Mid,Remoto
145,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,Sênior,Híbrido
146,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M,Pleno/Mid,Híbrido
147,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L,Pleno/Mid,Remoto
148,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L,Sênior,Remoto
149,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,Sênior,Remoto
150,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S,Sênior,Presencial
151,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M,Pleno/Mid,Remoto
152,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L,Pleno/Mid,Remoto
153,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L,Júnior/Entry,Remoto
154,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L,Sênior,Remoto
155,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,Sênior,Híbrido
156,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M,Pleno/Mid,Remoto
157,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,Pleno/Mid,Híbrido
158,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M,Sênior,Remoto
159,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Júnior/Entry,Remoto
160,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L,Diretoria/Exec,Híbrido
161,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M,Diretoria/Exec,Presencial
162,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L,Pleno/Mid,Híbrido
163,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,Júnior/Entry,Híbrido
164,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M,Diretoria/Exec,Híbrido
165,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L,Sênior,Remoto
166,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L,Júnior/Entry,Remoto
167,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L,Diretoria/Exec,Presencial
168,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S,Júnior/Entry,Híbrido
169,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L,Pleno/Mid,Remoto
170,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L,Pleno/Mid,Remoto
171,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L,Pleno/Mid,Remoto
172,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S,Júnior/Entry,Remoto
173,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L,Sênior,Remoto
174,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L,Sênior,Híbrido
175,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L,Sênior,Remoto
176,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S,Pleno/Mid,Presencial
177,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Pleno/Mid,Remoto
178,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Júnior/Entry,Híbrido
179,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S,Pleno/Mid,Remoto
180,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,Pleno/Mid,Presencial
181,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L,Pleno/Mid,Híbrido
182,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L,Pleno/Mid,Presencial
183,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Sênior,Híbrido
184,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,Pleno/Mid,Híbrido
185,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M,Pleno/Mid,Remoto
186,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Sênior,Remoto
187,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,Diretoria/Exec,Remoto
188,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S,Sênior,Híbrido
189,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,Pleno/Mid,Híbrido
190,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L,Sênior,Remoto
191,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Júnior/Entry,Híbrido
192,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S,Pleno/Mid,Presencial
193,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L,Sênior,Remoto
194,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L,Sênior,Híbrido
195,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L,Pleno/Mid,Híbrido
